Date,Profit,Sales
1/2/2015,1062,6456.345791
1/3/2015,1017.28,68400.04851
1/4/2015,-14924.55,19361.80806
1/5/2015,9822.55,103329.9584
1/6/2015,-4470.03,9326.958414
1/7/2015,-579.28,31910.18476
1/8/2015,1338.82,41036.17371
1/9/2015,-9945.36,3883.211198
1/10/2015,11789.52,98281.08554
1/11/2015,-13219.68,108138.0655
1/12/2015,7374.54,42135.80315
1/13/2015,16283.6,19903.0828
1/14/2015,3261.04,3956.072629
1/15/2015,3685.39,29882.92387
1/16/2015,-2385.12,195.0508001
1/17/2015,-4681.05,12402.39802
1/18/2015,-4055.84,107181.631
1/19/2015,310.03,975.455418
1/20/2015,18305.58,58724.56653
1/21/2015,-1443.42,9114.884075
1/22/2015,-196.2,11283.37569
1/23/2015,21126.72,35068.15919
1/24/2015,-3161.56,625.3782014
1/25/2015,14783.42,35388.85995
1/26/2015,7482.48,11100.3119
1/27/2015,-1831.11,36432.72786
1/28/2015,7662.15,9440.203745
1/29/2015,8851.33,40033.00755
1/30/2015,1262.6,10469.85906
1/31/2015,-17247.2,19482.67172
2/1/2015,-3163.3,80017.92147
2/2/2015,-6562.52,50509.03237
2/3/2015,34630.42,98168.92486
2/4/2015,40084.95,118564.8066
2/5/2015,7269.43,25254.56702
2/6/2015,2905.35,4356.588782
2/7/2015,-16317.18,5189.004184
2/8/2015,-12582.88,1292.30138
2/9/2015,-1494.06,18330.51787
2/10/2015,7064.55,20928.84048
2/11/2015,7565.04,11938.90146
2/12/2015,3098.48,4308.374829
2/13/2015,4520.7,13827.17172
2/14/2015,-3885.92,1784.875249
2/15/2015,12949.46,21081.84401
2/16/2015,-4587.44,6016.198022
2/17/2015,-10540.75,25288.92841
2/18/2015,5624.1,65586.57955
2/19/2015,-11001.52,15708.37331
2/20/2015,-18298.8,10418.21797
2/21/2015,13669.84,49189.92186
2/22/2015,-7652.62,18812.68936
2/23/2015,-29093.39,61366.74694
2/24/2015,-9289.26,84449.2032
2/25/2015,-9573.5,7094.550826
2/26/2015,16597.92,83584.81898
2/27/2015,18872.24,31867.27209
2/28/2015,6890.25,16982.01177
3/1/2015,-49007.69,134356.3068
3/2/2015,45441.59,101437.708
3/3/2015,-2894.32,36568.79698
3/4/2015,-12930.27,81688.73059
3/5/2015,-2639.06,11272.77159
3/6/2015,-7169.73,26596.04884
3/7/2015,-12828.46,8925.91275
3/8/2015,-5806.74,36395.99988
3/9/2015,-1678.36,26247.80649
3/10/2015,-3783.26,21017.08862
3/11/2015,9232.32,9573.850126
3/12/2015,12947.48,90222.88119
3/13/2015,3229.29,36021.09317
3/14/2015,25910.8,31044.95028
3/15/2015,16726.36,28860.64356
3/16/2015,2191.74,19842.40453
3/17/2015,-30107.22,17002.52088
3/18/2015,1076.69,37133.69316
3/19/2015,-13037.32,28336.92708
3/20/2015,15753.74,32373.18605
3/21/2015,-10266.44,43970.78592
3/22/2015,-32428.11,10317.33905
3/23/2015,-3330.97,123022.4753
3/24/2015,2278.92,3711.433232
3/25/2015,-6887.48,25885.87233
3/26/2015,1660.79,9935.00976
3/27/2015,-1481.5,3007.141761
3/28/2015,-6330.43,44684.00357
3/29/2015,-11118.77,16889.85369
3/30/2015,-15500.09,19323.89985
3/31/2015,6897.56,14582.26545
4/1/2015,393.4,8383.279999
4/2/2015,-8528.71,51496.53177
4/3/2015,-11332.33,46885.39881
4/4/2015,-6395.52,25700.13717
4/5/2015,8428.07,46297.93457
4/6/2015,18156.07,67114.46249
4/7/2015,14057.61,45617.4967
4/8/2015,-2702.55,2148.842327
4/9/2015,3511.85,38956.65073
4/10/2015,-8649.87,58168.41412
4/11/2015,-23786.16,33331.22238
4/12/2015,-9837.46,57761.45293
4/13/2015,-22723.45,76560.35717
4/14/2015,9710.61,23540.05856
4/15/2015,7206.05,17400.53177
4/16/2015,9756.35,52586.08866
4/17/2015,-3157.81,96149.12997
4/18/2015,2989.3,47414.63301
4/19/2015,10544.38,16128.55628
4/20/2015,206.24,13423.18772
4/21/2015,2431.5,2521.142614
4/22/2015,-4575.6,6839.161129
4/23/2015,17397.5,20700.16985
4/24/2015,-9031.3,31788.79119
4/25/2015,14398.15,52423.70781
4/26/2015,889.62,3522.012575
4/27/2015,-8256.48,34122.23302
4/28/2015,5083.23,22566.59777
4/29/2015,-7711.19,27278.47315
4/30/2015,-10409.48,52173.6794
5/1/2015,-2186.01,23834.33647
5/2/2015,-6066.76,40334.5247
5/3/2015,10482.21,46513.14432
5/4/2015,3914.64,17413.03992
5/5/2015,29539.11,83220.98135
5/6/2015,1030.82,9317.755523
5/7/2015,-22405.67,67511.35087
5/8/2015,11506.86,18782.26506
5/9/2015,-14876.96,39638.84861
5/10/2015,-8181.9,6241.46781
5/11/2015,-3047.68,4939.730663
5/12/2015,10296.84,13100.69318
5/13/2015,-25610.34,25045.05698
5/14/2015,-6711.35,53650.48874
5/15/2015,-5753.48,11062.19317
5/16/2015,21921.36,23557.22512
5/17/2015,-11733.14,22540.62798
5/18/2015,-25274.62,13301.26361
5/19/2015,-20465.52,33173.31027
5/20/2015,-762.96,7395.217425
5/21/2015,-2325.35,58933.65204
5/22/2015,8911.46,139912.5013
5/23/2015,11287.78,58574.76901
5/24/2015,4799.95,9169.754555
5/25/2015,3365.4,7926.286746
5/26/2015,1156.42,18064.61504
5/27/2015,-8184.13,7500.026773
5/28/2015,20814.47,41909.20876
5/29/2015,2030.88,27502.64993
5/30/2015,-626.8,43647.35362
5/31/2015,-6129.82,10305.59196
6/1/2015,-4750.53,11191.51278
6/2/2015,20678.4,57768.48233
6/3/2015,-2811.65,16922.47806
6/4/2015,-6841.69,16285.63668
6/5/2015,7202.18,22513.3134
6/6/2015,4579.4,7983.700996
6/7/2015,15881.53,157415.3801
6/8/2015,-16922.12,7157.885354
6/9/2015,-22645.14,59897.10953
6/10/2015,15544.27,51761.848
6/11/2015,-4391.1,1289.168628
6/12/2015,-4063.98,81527.89834
6/13/2015,-1606.87,2887.263642
6/14/2015,858.31,7495.92867
6/15/2015,-14336.85,22436.48372
6/16/2015,-759.23,81660.38097
6/17/2015,16636.98,55068.77023
6/18/2015,-18742.36,48951.50094
6/19/2015,-17161.84,51336.51957
6/20/2015,-12112.85,14420.79592
6/21/2015,-17162.6,89569.04164
6/22/2015,5640.09,20062.8311
6/23/2015,-2766.54,22748.18357
6/24/2015,2488.32,7924.191415
6/25/2015,6473.28,6885.126059
6/26/2015,12207.81,31654.09887
6/27/2015,10357.8,11561.58139
6/28/2015,-21919.45,8155.039232
6/29/2015,-11883.06,22381.26472
6/30/2015,2921.33,122985.8285
7/1/2015,68764.53,245064.9928
7/2/2015,5048.01,12162.91936
7/3/2015,-9235.19,10274.20943
7/4/2015,-7680.44,66000.28558
7/5/2015,-6983.85,32469.88342
7/6/2015,-2055.27,871.2047952
7/7/2015,13866.74,48272.9334
7/8/2015,-12059.7,36419.04586
7/9/2015,1424.19,15578.49858
7/10/2015,321.33,46244.64205
7/11/2015,6996.94,67870.13615
7/12/2015,-158.2,20966.62798
7/13/2015,25435.56,101074.2433
7/14/2015,-17232.51,32548.9635
7/15/2015,-1457.78,47479.74486
7/16/2015,2177.97,37557.93014
7/17/2015,-8233.9,22448.99753
7/18/2015,3552.75,11977.59699
7/19/2015,1641.76,5615.169027
7/20/2015,2012.9,25200.37952
7/21/2015,9607.36,125224.4815
7/22/2015,-966.63,63160.83836
7/23/2015,7947,83945.14584
7/24/2015,-13326.81,78055.87892
7/25/2015,13699.74,25719.66708
